Delivery Date,Delivery Hour,Repeated Hour Flag,dam,rtm
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,16.83,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,10,N,0.75,0.62
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,24.05,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
